conname,table_name,pg_get_constraintdef
access_expirations_user_id_fkey,access_expirations,FOREIGN KEY (user_id) REFERENCES auth.users(id)
account_risk_scores_user_id_fkey,account_risk_scores,FOREIGN KEY (user_id) REFERENCES auth.users(id)
admin_events_admin_id_fkey,admin_events,FOREIGN KEY (admin_id) REFERENCES auth.users(id)
admin_queue_assigned_to_fkey,admin_queue,FOREIGN KEY (assigned_to) REFERENCES auth.users(id)
ai_briefings_user_id_fkey,ai_briefings,FOREIGN KEY (user_id) REFERENCES auth.users(id)
ai_generated_insights_content_id_fkey,ai_generated_insights,FOREIGN KEY (content_id) REFERENCES content(id)
ai_user_profiles_user_id_fkey,ai_user_profiles,FOREIGN KEY (user_id) REFERENCES auth.users(id)
analytics_events_user_id_fkey,analytics_events,FOREIGN KEY (user_id) REFERENCES auth.users(id)
announcements_created_by_fkey,announcements,FOREIGN KEY (created_by) REFERENCES auth.users(id)
asset_access_logs_user_id_fkey,asset_access_logs,FOREIGN KEY (user_id) REFERENCES auth.users(id)
audit_logs_actor_user_id_fkey,audit_logs,FOREIGN KEY (actor_user_id) REFERENCES auth.users(id)
audit_logs_target_user_id_fkey,audit_logs,FOREIGN KEY (target_user_id) REFERENCES auth.users(id)
identities_user_id_fkey,auth.identities,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
mfa_amr_claims_session_id_fkey,auth.mfa_amr_claims,FOREIGN KEY (session_id) REFERENCES auth.sessions(id) ON DELETE CASCADE
mfa_challenges_auth_factor_id_fkey,auth.mfa_challenges,FOREIGN KEY (factor_id) REFERENCES auth.mfa_factors(id) ON DELETE CASCADE
mfa_factors_user_id_fkey,auth.mfa_factors,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
oauth_authorizations_client_id_fkey,auth.oauth_authorizations,FOREIGN KEY (client_id) REFERENCES auth.oauth_clients(id) ON DELETE CASCADE
oauth_authorizations_user_id_fkey,auth.oauth_authorizations,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
oauth_consents_client_id_fkey,auth.oauth_consents,FOREIGN KEY (client_id) REFERENCES auth.oauth_clients(id) ON DELETE CASCADE
