schemaname,tablename,indexname,indexdef
public,abuse_events,abuse_events_pkey,CREATE UNIQUE INDEX abuse_events_pkey ON public.abuse_events USING btree (id)
public,access_expirations,access_expiration_user_idx,CREATE INDEX access_expiration_user_idx ON public.access_expirations USING btree (user_id)
public,access_expirations,access_expiration_expire_idx,CREATE INDEX access_expiration_expire_idx ON public.access_expirations USING btree (expires_at)
public,access_expirations,access_expiration_active_idx,CREATE INDEX access_expiration_active_idx ON public.access_expirations USING btree (active)
public,access_expirations,access_expirations_pkey,CREATE UNIQUE INDEX access_expirations_pkey ON public.access_expirations USING btree (id)
public,access_policies,access_policies_pkey,CREATE UNIQUE INDEX access_policies_pkey ON public.access_policies USING btree (id)
public,access_policies,idx_access_policies_resource,CREATE INDEX idx_access_policies_resource ON public.access_policies USING btree (resource_type)
public,account_risk_scores,account_risk_scores_pkey,CREATE UNIQUE INDEX account_risk_scores_pkey ON public.account_risk_scores USING btree (id)
public,account_risk_scores,account_risk_scores_user_id_key,CREATE UNIQUE INDEX account_risk_scores_user_id_key ON public.account_risk_scores USING btree (user_id)
public,account_risk_scores,risk_score_user_idx,CREATE INDEX risk_score_user_idx ON public.account_risk_scores USING btree (user_id)
public,admin_alerts,admin_alerts_resolved_idx,CREATE INDEX admin_alerts_resolved_idx ON public.admin_alerts USING btree (resolved)
public,admin_alerts,admin_alerts_pkey,CREATE UNIQUE INDEX admin_alerts_pkey ON public.admin_alerts USING btree (id)
public,admin_events,admin_events_pkey,CREATE UNIQUE INDEX admin_events_pkey ON public.admin_events USING btree (id)
public,admin_events,admin_events_admin_idx,CREATE INDEX admin_events_admin_idx ON public.admin_events USING btree (admin_id)
public,admin_events,admin_events_type_idx,CREATE INDEX admin_events_type_idx ON public.admin_events USING btree (event_type)
public,admin_queue,admin_queue_pkey,CREATE UNIQUE INDEX admin_queue_pkey ON public.admin_queue USING btree (id)
public,admin_queue,admin_queue_priority_idx,CREATE INDEX admin_queue_priority_idx ON public.admin_queue USING btree (priority)
public,admin_queue,admin_queue_status_idx,CREATE INDEX admin_queue_status_idx ON public.admin_queue USING btree (status)
public,ai_briefings,ai_briefings_pkey,CREATE UNIQUE INDEX ai_briefings_pkey ON public.ai_briefings USING btree (id)
public,ai_briefings,ai_briefing_user_idx,CREATE INDEX ai_briefing_user_idx ON public.ai_briefings USING btree (user_id)
