table_schema,table_name,privilege_type,grantee
public,sessions_metadata,INSERT,postgres
public,sessions_metadata,SELECT,postgres
public,sessions_metadata,UPDATE,postgres
public,sessions_metadata,DELETE,postgres
public,sessions_metadata,TRUNCATE,postgres
public,sessions_metadata,REFERENCES,postgres
public,sessions_metadata,TRIGGER,postgres
public,sessions_metadata,INSERT,anon
public,sessions_metadata,SELECT,anon
public,sessions_metadata,UPDATE,anon
public,sessions_metadata,DELETE,anon
public,sessions_metadata,TRUNCATE,anon
public,sessions_metadata,REFERENCES,anon
public,sessions_metadata,TRIGGER,anon
public,sessions_metadata,INSERT,authenticated
public,sessions_metadata,SELECT,authenticated
public,sessions_metadata,UPDATE,authenticated
public,sessions_metadata,DELETE,authenticated
public,sessions_metadata,TRUNCATE,authenticated
public,sessions_metadata,REFERENCES,authenticated
public,sessions_metadata,TRIGGER,authenticated
public,sessions_metadata,INSERT,service_role
public,sessions_metadata,SELECT,service_role
public,sessions_metadata,UPDATE,service_role
public,sessions_metadata,DELETE,service_role
public,sessions_metadata,TRUNCATE,service_role
public,sessions_metadata,REFERENCES,service_role
public,sessions_metadata,TRIGGER,service_role
public,dynamic_watermarks,INSERT,postgres
public,dynamic_watermarks,SELECT,postgres
public,dynamic_watermarks,UPDATE,postgres
public,dynamic_watermarks,DELETE,postgres
public,dynamic_watermarks,TRUNCATE,postgres
public,dynamic_watermarks,REFERENCES,postgres
public,dynamic_watermarks,TRIGGER,postgres
public,dynamic_watermarks,INSERT,anon
public,dynamic_watermarks,SELECT,anon
public,dynamic_watermarks,UPDATE,anon
public,dynamic_watermarks,DELETE,anon
public,dynamic_watermarks,TRUNCATE,anon
public,dynamic_watermarks,REFERENCES,anon
public,dynamic_watermarks,TRIGGER,anon
public,dynamic_watermarks,INSERT,authenticated
public,dynamic_watermarks,SELECT,authenticated
public,dynamic_watermarks,UPDATE,authenticated
public,dynamic_watermarks,DELETE,authenticated
public,dynamic_watermarks,TRUNCATE,authenticated
public,dynamic_watermarks,REFERENCES,authenticated
public,dynamic_watermarks,TRIGGER,authenticated
public,dynamic_watermarks,INSERT,service_role
public,dynamic_watermarks,SELECT,service_role
public,dynamic_watermarks,UPDATE,service_role
public,dynamic_watermarks,DELETE,service_role
public,dynamic_watermarks,TRUNCATE,service_role
public,dynamic_watermarks,REFERENCES,service_role
public,dynamic_watermarks,TRIGGER,service_role
public,subscriptions,INSERT,postgres
public,subscriptions,SELECT,postgres
public,subscriptions,UPDATE,postgres
public,subscriptions,DELETE,postgres
public,subscriptions,TRUNCATE,postgres
public,subscriptions,REFERENCES,postgres
public,subscriptions,TRIGGER,postgres
public,subscriptions,INSERT,anon
public,subscriptions,SELECT,anon
public,subscriptions,UPDATE,anon
public,subscriptions,DELETE,anon
public,subscriptions,TRUNCATE,anon
public,subscriptions,REFERENCES,anon
public,subscriptions,TRIGGER,anon
public,subscriptions,INSERT,authenticated
public,subscriptions,SELECT,authenticated
public,subscriptions,UPDATE,authenticated
public,subscriptions,DELETE,authenticated
public,subscriptions,TRUNCATE,authenticated
public,subscriptions,REFERENCES,authenticated
public,subscriptions,TRIGGER,authenticated
public,subscriptions,INSERT,service_role
public,subscriptions,SELECT,service_role
public,subscriptions,UPDATE,service_role
public,subscriptions,DELETE,service_role
public,subscriptions,TRUNCATE,service_role
public,subscriptions,REFERENCES,service_role
public,subscriptions,TRIGGER,service_role
public,plans,INSERT,postgres
public,plans,SELECT,postgres
public,plans,UPDATE,postgres
public,plans,DELETE,postgres
public,plans,TRUNCATE,postgres
public,plans,REFERENCES,postgres
public,plans,TRIGGER,postgres
public,plans,INSERT,anon
public,plans,SELECT,anon
public,plans,UPDATE,anon
public,plans,DELETE,anon
public,plans,TRUNCATE,anon
public,plans,REFERENCES,anon
public,plans,TRIGGER,anon
public,plans,INSERT,authenticated
public,plans,SELECT,authenticated
