schemaname,tablename,policyname,cmd
public,abuse_events,abuse_events_admin,ALL
public,access_policies,access_policies_admin,ALL
public,account_risk_scores,risk_score_admin,ALL
public,account_risk_scores,risk_score_select,SELECT
public,admin_alerts,admin_alert_admin,ALL
public,admin_events,admin_event_admin,ALL
public,admin_queue,admin_queue_admin,ALL
public,ai_briefings,briefing_select,SELECT
public,ai_briefings,briefing_update,UPDATE
public,ai_briefings,briefing_delete,DELETE
public,ai_briefings,briefing_insert,INSERT
public,ai_generated_insights,ai_insight_admin,ALL
public,ai_generated_insights,ai_insights_select,SELECT
public,ai_generated_insights,ai_insights_insert,INSERT
public,ai_generated_insights,ai_insights_delete,DELETE
public,ai_generated_insights,ai_insights_update,UPDATE
public,ai_jobs,ai_jobs_admin_only,ALL
public,ai_operational_memory,memory_admin,ALL
public,ai_trend_detection,trend_detection_select,SELECT
public,ai_trend_detection,trend_detection_admin,ALL
public,analytics_events,analytics_owner_select,SELECT
public,analytics_events,analytics_owner_insert,INSERT
public,analytics_read_models,analytics_read_models_admin,ALL
public,audit_logs,audit_logs_admin_only,ALL
public,audit_logs,audit_append_only,INSERT
public,automation_jobs,automation_jobs_admin_only,ALL
public,automation_logs,automation_log_admin,ALL
public,automation_triggers,automation_trigger_update,UPDATE
public,automation_triggers,automation_trigger_select,SELECT
public,automation_triggers,automation_trigger_delete,DELETE
public,automation_triggers,automation_trigger_insert,INSERT
public,automation_triggers,automation_trigger_admin,ALL
public,automation_workflows,automation_workflow_delete,DELETE
public,automation_workflows,automation_workflow_update,UPDATE
public,automation_workflows,automation_workflow_admin,ALL
public,automation_workflows,automation_workflow_insert,INSERT
public,automation_workflows,automation_workflow_select,SELECT
public,backup_snapshots,backup_snapshot_super_admin,ALL
public,billing_customers,billing_customer_select,SELECT
public,billing_customers,billing_customer_admin,ALL
public,blocked_ips,blocked_ips_admin,ALL
public,cache_entries,cache_admin,ALL
public,cache_metrics,cache_metric_admin,ALL
public,calendar_events,calendar_update,UPDATE
public,calendar_events,calendar_select,SELECT
public,calendar_events,calendar_delete,DELETE
public,calendar_events,calendar_insert,INSERT
public,captcha_events,captcha_admin,ALL
public,captcha_events,captcha_select,SELECT
public,cdn_assets,cdn_admin,ALL
public,churn_predictions,churn_admin,ALL
public,circle_members,circle_member_select,SELECT
public,circle_members,circle_member_insert,INSERT
public,comment_reactions,reaction_delete,DELETE
public,comment_reactions,reaction_insert,INSERT
public,comment_reactions,reaction_select,SELECT
public,comments,comments_owner_delete,DELETE
public,comments,comments_public_select,SELECT
public,comments,comments_owner_update,UPDATE
public,comments,comments_owner_insert,INSERT
public,community_posts,community_post_delete,DELETE
public,community_posts,community_post_update,UPDATE
public,community_posts,community_post_insert,INSERT
public,community_posts,community_post_select,SELECT
public,compliance_audits,compliance_audits_admin,ALL
public,concurrent_access_events,concurrent_access_select,SELECT
public,concurrent_access_events,concurrent_access_insert,INSERT
public,consent_records,consent_records_admin,ALL
public,content,content_tenant_select,SELECT
public,content,content_author_delete,DELETE
public,content,content_author_insert,INSERT
public,content,content_author_update,UPDATE
public,content,workspace_content_select,SELECT
public,content,content_public_read,SELECT
public,content_access_rules,content_access_admin,ALL
public,content_access_rules,content_access_select,SELECT
public,content_access_rules,content_access_insert,INSERT
public,content_access_rules,content_access_update,UPDATE
public,content_access_rules,content_access_delete,DELETE
public,content_analytics,content_analytics_delete,DELETE
public,content_analytics,content_analytics_select,SELECT
public,content_analytics,content_analytics_update,UPDATE
public,content_analytics,content_analytics_insert,INSERT
public,content_categories,content_categories_admin,ALL
public,content_categories,content_categories_select,SELECT
public,content_embeddings,embedding_admin,ALL
public,content_heatmaps,heatmap_update,UPDATE
public,content_heatmaps,heatmap_admin,ALL
public,content_heatmaps,heatmap_insert,INSERT
public,content_heatmaps,heatmap_delete,DELETE
public,content_heatmaps,heatmap_select,SELECT
public,content_read_models,content_read_models_admin,ALL
public,content_schedule,content_schedule_delete,DELETE
public,content_schedule,content_schedule_admin,ALL
public,content_schedule,content_schedule_update,UPDATE
public,content_schedule,content_schedule_select,SELECT
public,content_schedule,content_schedule_insert,INSERT
public,content_similarity,content_similarity_admin,ALL
public,content_tag_relations,content_tag_relation_admin,ALL
public,content_tag_relations,content_tag_relation_select,SELECT
