schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
storage,objects,Admin delete attachments 1mt4rzk_0,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'attachments'::text) AND (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::text, 'super_admin'::text]))))))",null
storage,objects,Admin delete audio,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'AUDIO'::text) AND (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::text, 'super_admin'::text]))))))",null
storage,objects,Admin delete content banners 1fwxxtf_0,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'content-banners'::text) AND (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::text, 'super_admin'::text]))))))",null
storage,objects,Admin delete empty state assets 176gzb3_0,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'empty-state-assets'::text) AND (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::text, 'super_admin'::text]))))))",null
storage,objects,Admin delete hero images 1vxel63_0,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'hero-images'::text) AND (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::text, 'super_admin'::text]))))))",null
storage,objects,Admin delete pdfs 21n7l_0,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'pdfs'::text) AND (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::text, 'super_admin'::text]))))))",null
storage,objects,Admin delete section thumbnails fb65m7_0,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'section-thumbnails'::text) AND (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::text, 'super_admin'::text]))))))",null
storage,objects,Admin delete videos 1livt5k_0,PERMISSIVE,{authenticated},DELETE,"((bucket_id = 'videos'::text) AND (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::text, 'super_admin'::text]))))))",null
storage,objects,Admin select attachments,PERMISSIVE,{authenticated},SELECT,"((bucket_id = 'attachments'::text) AND (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::text, 'super_admin'::text]))))))",null
storage,objects,Admin select audio,PERMISSIVE,{authenticated},SELECT,"((bucket_id = 'AUDIO'::text) AND (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::text, 'super_admin'::text]))))))",null
